-0.3023	0.0046	-0.5966
-0.3079	0.0960	-0.5530
-0.3150	-0.0595	-0.5050
-0.3027	0.0751	-0.4624
-0.2997	0.0017	-0.4292
-0.3934	-0.1026	-0.4602
-0.3410	-0.0789	-0.3614
-0.4341	-0.1253	-0.5264
-0.4716	-0.1249	-0.3961
-0.4162	-0.1199	-0.6355
-0.3348	-0.0502	-0.6462
-0.3967	0.1885	-0.4619
-0.3550	0.0192	-0.3155
-0.3600	0.0996	-0.3305
-0.3587	0.0975	-0.6145
-0.4404	0.1128	-0.6561
-0.3581	0.0357	-0.7266
-0.4298	0.1575	-0.5463
-0.4846	0.0944	-0.7301
-0.3618	-0.0279	-0.7961
-0.5186	-0.1268	-0.6160
-0.5131	-0.1432	-0.7579
-0.5943	-0.0956	-0.7193
-0.5562	-0.0994	-0.8934
-0.6431	-0.0119	-0.6990
-0.6118	-0.0465	-0.7982
-0.6380	-0.0456	-0.5898
-0.6561	0.0033	-0.4831
-0.5753	-0.1027	-0.4929
-0.4094	-0.1250	-0.7514
-0.4110	-0.1261	-0.8266
-0.5240	-0.0823	-0.3340
-0.6084	-0.0524	-0.3930
-0.4019	-0.0745	-0.3107
-0.4870	0.0455	-0.2758
-0.4760	0.1548	-0.3144
-0.4053	0.1807	-0.3852
-0.5060	0.1910	-0.4529
-0.5726	0.0417	-0.3162
-0.6364	0.0489	-0.3913
0.3023	0.0046	-0.5966
0.3079	0.0960	-0.5530
0.3027	0.0751	-0.4624
0.3967	0.1885	-0.4619
0.4298	0.1575	-0.5463
0.2997	0.0018	-0.4292
0.3550	0.0192	-0.3155
0.3600	0.0996	-0.3305
0.3587	0.0975	-0.6145
0.3150	-0.0595	-0.5050
0.3410	-0.0789	-0.3614
0.4019	-0.0745	-0.3107
0.3348	-0.0502	-0.6462
0.3581	0.0357	-0.7266
0.4404	0.1128	-0.6561
0.3618	-0.0279	-0.7961
0.4341	-0.1253	-0.5264
0.4162	-0.1199	-0.6355
0.3934	-0.1027	-0.4602
0.4870	0.0455	-0.2758
0.5239	-0.0823	-0.3340
0.4716	-0.1249	-0.3961
0.5726	0.0418	-0.3162
0.4760	0.1548	-0.3144
0.6364	0.0489	-0.3913
0.5186	-0.1268	-0.6160
0.5753	-0.1027	-0.4929
0.6380	-0.0456	-0.5898
0.6561	0.0033	-0.4831
0.5943	-0.0956	-0.7193
0.6431	-0.0119	-0.6990
0.5131	-0.1432	-0.7579
0.6118	-0.0465	-0.7982
0.6084	-0.0524	-0.3930
0.4094	-0.1250	-0.7514
0.4110	-0.1261	-0.8266
-0.5872	0.1538	-0.4110
-0.6213	0.1162	-0.5291
-0.5422	0.1306	-0.5995
-0.6405	0.0605	-0.5992
-0.4555	0.0471	-0.8310
-0.4106	-0.0471	-0.9185
-0.4557	-0.1240	-0.9478
-0.5805	0.0407	-0.8000
-0.5488	0.0021	-0.8849
-0.5960	0.0719	-0.7038
0.6213	0.1162	-0.5291
0.5872	0.1538	-0.4110
0.5060	0.1910	-0.4529
0.5422	0.1306	-0.5995
0.4846	0.0944	-0.7301
0.6405	0.0605	-0.5992
0.5960	0.0719	-0.7038
0.4053	0.1807	-0.3852
0.5562	-0.0993	-0.8935
0.5805	0.0407	-0.8000
0.5488	0.0021	-0.8849
0.4557	-0.1240	-0.9478
0.4106	-0.0471	-0.9185
0.4555	0.0471	-0.8310
-0.4907	-0.0216	-0.9448
0.4907	-0.0216	-0.9448
-0.4945	-0.0385	-0.0035
-0.4501	0.0926	0.0308
-0.4090	0.0382	0.0658
-0.4053	-0.0389	0.1001
-0.4605	-0.1112	0.1175
-0.5512	-0.1275	0.1274
-0.6004	-0.1238	0.0130
-0.4117	-0.0008	0.2053
-0.4438	0.1177	0.1955
-0.4530	0.0376	0.2587
-0.5287	0.1557	0.0455
-0.5703	0.0775	-0.0144
-0.5069	0.1755	0.1342
-0.6357	-0.0516	-0.0356
-0.6672	0.0509	-0.0122
0.4945	-0.0385	-0.0035
0.4501	0.0926	0.0308
0.4090	0.0382	0.0658
0.4053	-0.0389	0.1001
0.4605	-0.1112	0.1175
0.5596	-0.1084	0.0159
0.5512	-0.1275	0.1274
0.4117	-0.0008	0.2053
0.5072	-0.1053	0.2316
0.5703	0.0775	-0.0144
0.5287	0.1557	0.0455
0.5069	0.1755	0.1342
0.4438	0.1177	0.1955
